T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
4250.625887,3130.006335,2589.017586,1863.555033,4743.411662,5029.937899,5136.957854,5106.12735,0,1,85,32,5047.660243
5047.660243,4250.625887,3130.006335,2589.017586,4665.330812,5122.741181,5383.380187,5106.12735,0,1,85,32,4872.258922
4872.258922,5047.660243,4250.625887,3130.006335,4704.371237,5004.864732,4706.300742,5242.5506,0,1,83,35,5134.688868
5134.688868,4872.258922,5047.660243,4250.625887,4448.571581,4853.774475,4879.893802,4956.263386,0,1,83,35,4378.480681
4378.480681,5134.688868,4872.258922,5047.660243,1918.073064,4853.774475,4802.74133,4462.149128,0,1,83,35,4092.697494
4092.697494,4378.480681,5134.688868,4872.258922,3445.741877,4702.684219,4688.509116,4324.549815,0,1,75,69,4112.18653
4112.18653,4092.697494,4378.480681,5134.688868,3513.638268,3669.474343,4552.328353,4022.133744,0,1,75,69,3929.896843
3929.896843,4112.18653,4092.697494,4378.480681,3347.292109,3437.303325,4552.328353,4213.663923,0,1,75,69,3929.896843
3929.896843,3929.896843,4112.18653,4092.697494,3475.446548,3437.303325,4375.409755,4252.641994,0,1,72,84,3910.911834
3910.911834,3929.896843,3929.896843,4112.18653,3296.709297,3669.474343,3988.150907,4138.731941,0,1,72,84,3872.941816
3872.941816,3910.911834,3929.896843,3929.896843,834.1071715,768.4763023,790.8128295,818.5394988,0,1,72,84,892.1274095
892.1274095,3872.941816,3910.911834,3929.896843,881.2951637,768.4763023,829.3890651,818.5394988,0,1,72,84,931.7775165
931.7775165,892.1274095,3872.941816,3910.911834,881.2951637,749.2643947,790.8128295,812.8271953,0,1,72,84,911.952463
911.952463,931.7775165,892.1274095,3872.941816,761.1185505,614.7810418,622.5406295,654.2267669,0,1,72,84,892.1274095
892.1274095,911.952463,931.7775165,892.1274095,600.8830662,499.5095965,505.8142614,515.4513921,0,1,64,87,793.0021417
793.0021417,892.1274095,911.952463,931.7775165,540.7947595,499.5095965,505.8142614,455.9762315,0,1,64,87,713.7019276
713.7019276,793.0021417,892.1274095,911.952463,1882.766941,1863.555033,2044.540486,2083.646729,0,1,64,87,1903.20514
1903.20514,713.7019276,793.0021417,892.1274095,1863.555033,1942.855247,2001.945893,2062.165835,0,1,67,90,1982.505354
1982.505354,1903.20514,713.7019276,793.0021417,1863.555033,1942.855247,2001.945893,2062.165835,0,1,67,90,1982.505354
1982.505354,1982.505354,1903.20514,713.7019276,1863.555033,1942.855247,2001.945893,2062.165835,0,1,67,90,2022.155461
2022.155461,1982.505354,1982.505354,1903.20514,1863.555033,1942.855247,2171.596805,2294.62091,0,1,81,30,2024.675595
2024.675595,2022.155461,1982.505354,1982.505354,2589.017586,2323.584263,2512.03832,2710.645657,0,1,81,30,2604.810425
2604.810425,2024.675595,2022.155461,1982.505354,3130.006335,3288.222248,3421.998924,3178.548791,0,1,81,30,3725.765995
3725.765995,2604.810425,2024.675595,2022.155461,4250.625887,4196.845709,4473.118205,4321.536047,0,1,87,22,4558.418244
4558.418244,3725.765995,2604.810425,2024.675595,5047.660243,4743.411662,5029.937899,5136.957854,0,1,87,22,5133.008778
5133.008778,4558.418244,3725.765995,2604.810425,4872.258922,4665.330812,5122.741181,5383.380187,0,1,87,22,5487.171599
5487.171599,5133.008778,4558.418244,3725.765995,5134.688868,4704.371237,5004.864732,4706.300742,0,1,84,25,4791.614636
4791.614636,5487.171599,5133.008778,4558.418244,4378.480681,4448.571581,4853.774475,4879.893802,0,1,84,25,4599.74844
4599.74844,4791.614636,5487.171599,5133.008778,4092.697494,1918.073064,4853.774475,4802.74133,0,1,84,25,5429.208519
5429.208519,4599.74844,4791.614636,5487.171599,4112.18653,3445.741877,4702.684219,4688.509116,0,1,73,59,5249.942993
5249.942993,5429.208519,4599.74844,4791.614636,3929.896843,3513.638268,3669.474343,4552.328353,0,1,73,59,5286.232921
5286.232921,5249.942993,5429.208519,4599.74844,3929.896843,3347.292109,3437.303325,4552.328353,0,1,73,59,5190.467832
5190.467832,5286.232921,5249.942993,5429.208519,3910.911834,3475.446548,3437.303325,4375.409755,0,1,69,78,5190.467832
5190.467832,5190.467832,5286.232921,5249.942993,3872.941816,3296.709297,3669.474343,3988.150907,0,1,69,78,5281.528671
5281.528671,5190.467832,5190.467832,5286.232921,892.1274095,834.1071715,768.4763023,790.8128295,0,1,69,78,3245.932495
3245.932495,5281.528671,5190.467832,5190.467832,931.7775165,881.2951637,768.4763023,829.3890651,0,1,69,87,2575.072845
2575.072845,3245.932495,5281.528671,5190.467832,911.952463,881.2951637,749.2643947,790.8128295,0,1,69,87,2339.356318
2339.356318,2575.072845,3245.932495,5281.528671,892.1274095,761.1185505,614.7810418,622.5406295,0,1,69,87,2099.27156
2099.27156,2339.356318,2575.072845,3245.932495,793.0021417,600.8830662,499.5095965,505.8142614,0,1,64,86,2022.155461
2022.155461,2099.27156,2339.356318,2575.072845,713.7019276,540.7947595,499.5095965,505.8142614,0,1,64,86,2022.155461
2022.155461,2022.155461,2099.27156,2339.356318,1903.20514,1882.766941,1863.555033,2044.540486,0,1,64,86,1982.505354
1982.505354,2022.155461,2022.155461,2099.27156,1982.505354,1863.555033,1942.855247,2001.945893,1,1,67,87,1922.825812
1922.825812,1982.505354,2022.155461,2022.155461,1982.505354,1863.555033,1942.855247,2001.945893,1,1,67,87,1922.825812
1922.825812,1922.825812,1982.505354,2022.155461,2022.155461,1863.555033,1942.855247,2001.945893,1,1,67,87,1922.825812
1922.825812,1922.825812,1922.825812,1982.505354,2024.675595,1863.555033,1942.855247,2171.596805,1,1,82,36,1922.825812
1922.825812,1922.825812,1922.825812,1922.825812,2604.810425,2589.017586,2323.584263,2512.03832,1,1,82,36,2758.200844
2758.200844,1922.825812,1922.825812,1922.825812,3725.765995,3130.006335,3288.222248,3421.998924,1,1,82,36,3463.879913
3463.879913,2758.200844,1922.825812,1922.825812,4558.418244,4250.625887,4196.845709,4473.118205,1,1,88,25,4104.877275
4104.877275,3463.879913,2758.200844,1922.825812,5133.008778,5047.660243,4743.411662,5029.937899,1,1,88,25,5193.824546
5193.824546,4104.877275,3463.879913,2758.200844,5487.171599,4872.258922,4665.330812,5122.741181,1,1,88,25,5185.843256
5185.843256,5193.824546,4104.877275,3463.879913,4791.614636,5134.688868,4704.371237,5004.864732,1,1,84,26,1967.388015
1967.388015,5185.843256,5193.824546,4104.877275,4599.74844,4378.480681,4448.571581,4853.774475,1,1,84,26,1936.793069
1936.793069,1967.388015,5185.843256,5193.824546,5429.208519,4092.697494,1918.073064,4853.774475,1,1,84,26,4918.470037
4918.470037,1936.793069,1967.388015,5185.843256,5249.942993,4112.18653,3445.741877,4702.684219,1,1,74,61,5265.656158
5265.656158,4918.470037,1936.793069,1967.388015,5286.232921,3929.896843,3513.638268,3669.474343,1,1,74,61,5363.426961
5363.426961,5265.656158,4918.470037,1936.793069,5190.467832,3929.896843,3347.292109,3437.303325,1,1,74,61,4455.388933
4455.388933,5363.426961,5265.656158,4918.470037,5190.467832,3910.911834,3475.446548,3437.303325,1,1,71,76,5065.458797
5065.458797,4455.388933,5363.426961,5265.656158,5281.528671,3872.941816,3296.709297,3669.474343,1,1,71,76,4847.636087
4847.636087,5065.458797,4455.388933,5363.426961,3245.932495,892.1274095,834.1071715,768.4763023,1,1,71,76,3229.429515
3229.429515,4847.636087,5065.458797,4455.388933,2575.072845,931.7775165,881.2951637,768.4763023,1,1,65,86,882.9302197
882.9302197,3229.429515,4847.636087,5065.458797,2339.356318,911.952463,881.2951637,749.2643947,1,1,65,86,902.5508912
902.5508912,882.9302197,3229.429515,4847.636087,2099.27156,892.1274095,761.1185505,614.7810418,1,1,65,86,882.9302197
882.9302197,902.5508912,882.9302197,3229.429515,2022.155461,793.0021417,600.8830662,499.5095965,1,1,65,88,686.7235042
686.7235042,882.9302197,902.5508912,882.9302197,2022.155461,713.7019276,540.7947595,499.5095965,1,1,65,88,529.7581318
529.7581318,686.7235042,882.9302197,902.5508912,1982.505354,1903.20514,1882.766941,1863.555033,1,1,65,88,1942.446483
1942.446483,529.7581318,686.7235042,882.9302197,1922.825812,1982.505354,1863.555033,1942.855247,0,1,68,87,1962.680301
1962.680301,1942.446483,529.7581318,686.7235042,1922.825812,1982.505354,1863.555033,1942.855247,0,1,68,87,1962.680301
1962.680301,1962.680301,1942.446483,529.7581318,1922.825812,2022.155461,1863.555033,1942.855247,0,1,68,87,1962.680301
1962.680301,1962.680301,1962.680301,1942.446483,1922.825812,2024.675595,1863.555033,1942.855247,0,1,79,49,1962.680301
1962.680301,1962.680301,1962.680301,1962.680301,2758.200844,2604.810425,2589.017586,2323.584263,0,1,79,49,2923.355353
2923.355353,1962.680301,1962.680301,1962.680301,3463.879913,3725.765995,3130.006335,3288.222248,0,1,79,49,3351.77812
3351.77812,2923.355353,1962.680301,1962.680301,4104.877275,4558.418244,4250.625887,4196.845709,0,1,85,27,4443.500137
4443.500137,3351.77812,2923.355353,1962.680301,5193.824546,5133.008778,5047.660243,4743.411662,0,1,85,27,5268.759993
5268.759993,4443.500137,3351.77812,2923.355353,5185.843256,5487.171599,4872.258922,4665.330812,0,1,85,27,5551.014992
5551.014992,5268.759993,4443.500137,3351.77812,1967.388015,4791.614636,5134.688868,4704.371237,0,1,83,43,4499.44711
4499.44711,5551.014992,5268.759993,4443.500137,1936.793069,4599.74844,4378.480681,4448.571581,0,1,83,43,4810.935663
4810.935663,4499.44711,5551.014992,5268.759993,4918.470037,5429.208519,4092.697494,1918.073064,0,1,83,43,4791.614636
4791.614636,4810.935663,4499.44711,5551.014992,5265.656158,5249.942993,4112.18653,3445.741877,0,1,73,71,4580.091395
4580.091395,4791.614636,4810.935663,4499.44711,5363.426961,5286.232921,3929.896843,3513.638268,0,1,73,71,4154.020753
4154.020753,4580.091395,4791.614636,4810.935663,4455.388933,5190.467832,3929.896843,3347.292109,0,1,73,71,4868.898743
4868.898743,4154.020753,4580.091395,4791.614636,5065.458797,5190.467832,3910.911834,3475.446548,0,1,71,76,4385.873074
4385.873074,4868.898743,4154.020753,4580.091395,4847.636087,5281.528671,3872.941816,3296.709297,0,1,71,76,4290.612012
4290.612012,4385.873074,4868.898743,4154.020753,3229.429515,3245.932495,892.1274095,834.1071715,0,1,71,76,3152.183513
3152.183513,4290.612012,4385.873074,4868.898743,882.9302197,2575.072845,931.7775165,881.2951637,0,1,68,83,951.6025701
951.6025701,3152.183513,4290.612012,4385.873074,902.5508912,2339.356318,911.952463,881.2951637,0,1,68,83,832.6522488
832.6522488,951.6025701,3152.183513,4290.612012,882.9302197,2099.27156,892.1274095,761.1185505,0,1,68,83,812.8271953
812.8271953,832.6522488,951.6025701,3152.183513,686.7235042,2022.155461,793.0021417,600.8830662,0,1,67,88,654.2267669
654.2267669,812.8271953,832.6522488,951.6025701,529.7581318,2022.155461,713.7019276,540.7947595,0,1,67,88,515.4513921
515.4513921,654.2267669,812.8271953,832.6522488,1942.446483,1982.505354,1903.20514,1882.766941,0,1,67,88,1982.505354
1982.505354,515.4513921,654.2267669,812.8271953,1962.680301,1922.825812,1982.505354,1863.555033,0,1,68,92,1982.505354
1982.505354,1982.505354,515.4513921,654.2267669,1962.680301,1922.825812,1982.505354,1863.555033,0,1,68,92,1987.88164
1987.88164,1982.505354,1982.505354,515.4513921,1962.680301,1922.825812,2022.155461,1863.555033,0,1,68,92,2046.348747
2046.348747,1987.88164,1982.505354,1982.505354,1962.680301,1922.825812,2024.675595,1863.555033,0,1,77,56,2067.349863
2067.349863,2046.348747,1987.88164,1982.505354,2923.355353,2758.200844,2604.810425,2589.017586,0,1,77,56,3026.176817
3026.176817,2067.349863,2046.348747,1987.88164,3351.77812,3463.879913,3725.765995,3130.006335,0,1,77,56,3405.876995
3405.876995,3026.176817,2067.349863,2046.348747,4443.500137,4104.877275,4558.418244,4250.625887,0,1,82,44,4308.588967
